name frequency mean_age
maria carmen 668639 54.5
maria 633600 48.9
carmen 415535 60.2
josefa 298346 66.4
isabel 279932 56.2
ana maria 277090 48.8
maria pilar 267272 54.5
maria dolores 265341 54.3
maria teresa 256586 54.6
ana 255010 43.1
laura 253818 26.1
maria angeles 230218 53
cristina 229683 31.2
francisca 228133 63.3
marta 221764 27
antonia 221372 63.1
dolores 214294 65.5
maria isabel 205596 50
maria jose 204536 43.3
lucia 190438 22.6
maria luisa 166577 58.8
sara 160936 23
elena 160894 35.6
pilar 159537 62.1
paula 158230 18.6
concepcion 157115 63.9
manuela 149434 60.1
rosa maria 148432 49.3
raquel 148338 33.4
mercedes 147281 59.4
maria jesus 141368 52.8
rosario 129491 62.1
juana 129429 64.3
teresa 128484 61.1
beatriz 124265 34.7
encarnacion 123403 61.5
nuria 120959 35.7
silvia 119972 33.2
julia 119475 42.2
montserrat 113296 52
irene 112882 25.1
patricia 112223 28.8
rosa 111803 63.5
alba 106287 14.8
andrea 105711 20.4
rocio 104584 26.9
monica 103306 34.8
maria mar 99827 40.5
angela 99646 44.4
alicia 98412 37.2
sonia 98017 34.3
sandra 97579 26.4
susana 96106 39.2
marina 95389 31.5
margarita 94238 58
yolanda 92733 39.7
natalia 91037 25.8
maria josefa 90506 60
maria rosario 81312 56.2
inmaculada 80042 41.2
eva 78366 30.7
maria mercedes 77242 52.4
esther 76706 39
ana isabel 76236 40.2
claudia 74117 14.8
angeles 73615 64.3
noelia 72794 25.1
veronica 71493 30.6
carla 66556 11.2
amparo 65145 63
carolina 64778 30.9
maria rosa 64419 58.6
maria victoria 64029 49.9
nerea 63377 16
sofia 62985 20
eva maria 62931 38.3
maria concepcion 62111 59.5
lorena 61502 25.2
ana belen 60649 34.7
miriam 60622 24.2
victoria 60176 48.2
ines 59967 36
maria elena 59809 46.7
maria antonia 58238 57.4
catalina 58057 59.9
consuelo 56873 65.3
maria nieves 53248 54
lidia 53239 31.8
emilia 52312 64.5
luisa 51443 64.9
celia 50695 33.4
gloria 50566 52.5
olga 49850 42.6
daniela 49724 13.4
aurora 48748 58
esperanza 47852 58.5
maria soledad 47654 53.2
alejandra 47618 23.4
milagros 46939 61.3
josefina 46844 65.7
maria cristina 46370 46.3
fatima 45627 34.2
ainhoa 45350 16.1
virginia 44996 38.1
maria luz 44309 55.9
clara 44169 28.8
purificacion 43741 63.2
vanesa 43214 30.6
anna 42648 28.8
lourdes 42357 45
begoña 39367 45.7
isabel maria 38635 39.7
maria belen 38623 43.4
martina 38244 19.6
estefania 38133 28.8
blanca 38069 28.3
magdalena 37731 60.4
adriana 37368 18.2
elisa 37260 48.8
maria begoña 36639 54.2
maria asuncion 36557 57.5
asuncion 36276 65.1
vicenta 36132 69.4
matilde 36034 64.4
araceli 35816 55.8
gema 35679 32.3
maria paz 35510 55.1
remedios 35307 62.5
belen 34567 31.5
maria lourdes 34340 51.8
trinidad 34280 64.3
maria esther 34061 50.2
elvira 33959 59.2
soledad 33526 58.2
natividad 33176 62.6
tamara 32974 26.3
vanessa 31297 30.8
paloma 31223 36.3
gemma 31222 34.7
ascension 31114 64.3
rebeca 30894 27.2
maria cruz 30787 57.2
almudena 30464 31.9
felisa 30003 70.6
laia 29882 14.4
mireia 29733 23
maria inmaculada 29492 45.7
nieves 29382 59.7
rafaela 28986 63.1
noemi 28762 27.5
maria amparo 28280 51.1
adela 28231 59.4
tania 27508 23.6
maria eugenia 27391 46.4
amalia 26397 59.2
amelia 26062 60.9
jessica 25973 25.4
ariadna 25958 12
juana maria 25274 49.7
ramona 25066 67.1
diana 24948 25.5
emma 24912 16.9
maria rocio 24416 38.1
carmen maria 24400 33.9
carlota 24281 16.7
joaquina 23932 67
aitana 23821 7.7
leonor 23607 59.3
valeria 23231 8.6
leire 22704 15.8
petra 22000 69.4
mariana 21953 46.6
barbara 21934 37.9
guadalupe 21792 53.7
leticia 21597 28.8
valentina 21546 37.8
elisabet 21498 31.8
juliana 21308 66.2
ainara 21307 13
noa 21040 5.4
cecilia 20937 47.5
agustina 20621 65.2
rosalia 20315 58.8
maria magdalena 20258 51.2
judith 20184 21.7
lara 19887 17
maria encarnacion 19851 56.2
ester 19789 35.2
jennifer 19429 23.4
sheila 19360 21
estrella 19136 48.9
adoracion 19106 63.1
aroa 18935 14.3
judit 18906 23.2
maria francisca 18887 56.2
gabriela 18547 30.5
berta 18452 26.5
alexandra 17713 23.5
soraya 17644 26.7
ruth 17440 29.2
maria montserrat 17327 51.4
maria gloria 17118 57.1
maria yolanda 17042 47.3
maria milagros 17007 58.3
candela 16982 8.7
helena 16905 19.3
maria consuelo 16836 56.5
eugenia 16026 60
nadia 15635 23.3
aida 15551 27.5
eulalia 15452 61.6
erika 15374 17.4
herminia 15162 66.5
naiara 15045 14.3
enriqueta 14721 68.5
maria remedios 14499 53.2
elisabeth 14389 31.4
nora 14335 12.6
maria reyes 14147 47.8
estela 14112 24.4
